campaign_id,campaign_name,channel,spend_30d,clicks_30d,impressions_30d,property_id,property_name,confidence,match_score
22904015735,1180 Avasa at 1604 PPC Aug 2025,SEARCH,10548.65,1245,25562,426692912,Avasa at 1604,high,100
22083247158,1171 Camber Ridge MKT ppc LS,SEARCH,6876.28,2263,57883,445473253,Camber Ridge,high,100
20970596774,1179 Cendana MKT search ppc,SEARCH,6526.3,1136,22629,424416990,Cendana District West,low,35
23001123352,1177 Monteverde MKT ppc,SEARCH,5873.7,3730,71914,488649687,Monteverde,high,100
8698294219,1102 - Belterra - MKT - Search,SEARCH,5041.98,742,21027,378388864,Belterra,high,100
20663542938,1175 Grove at Clermont MKT PPC,SEARCH,4539.12,918,18305,411396458,The Grove at Clermont,medium,72
21598634281,1183 Trevesta Place MKT Responsive Search,SEARCH,4332.52,922,15860,453604813,Trevesta Place,high,100
20590966684,1147 Highpark MKT ppc LS,SEARCH,4317.63,1270,21189,383911599,Highpark,high,100
22845412734,1173 Avasa Grove West MKT July 2025,SEARCH,4152.78,1789,39210,408537081,Avasa Grove West,high,100
22827057591,1172 Avasa Spring Branch MKT July 2025 LS,SEARCH,3809.06,571,10794,403700195,Avasa Spring Branch,high,100
18654423494,1141 Canton Mill Lofts MKT PPC Search,SEARCH,3654.78,860,10825,378412775,Canton Mill Lofts,high,100
22826571055,1137 Northbridge MKT July 2025 LS,SEARCH,3645.59,1629,37374,378703470,Gateway North,low,35
22225158860,1123 CoHo RespsonIve Search MKT,SEARCH,3545.89,863,19801,378415300,CoHo,high,100
20371341827,1132 San Palmilla MKT Responsive Search,SEARCH,3507.59,1340,21060,378698257,San Palmilla,high,100
20727415809,1154 Stoneridge on the 8 MKT PPC,SEARCH,3461.55,571,10518,378703792,Stoneridge on the 8,high,100
22826048539,1140 The Retreat MKT July 2025 LS,SEARCH,3294.04,818,16030,378675172,The Retreat,high,100
21627773161,1100 Fairways MKT Responsive Search,SEARCH,3239.85,600,5823,378444042,Fairways at South Shore,low,35
12122172208,1145 - Whitney - GOA Search,SEARCH,3227.95,591,13656,378701831,The Whitney,low,35
18404073813,1144 The Harrison MKT Responsive Search LS,SEARCH,3105.15,956,18546,378702475,The Harrison,high,100
23112431236,1070 Timber Mill MKT ppc,SEARCH,3072.96,1194,31675,378385211,Timber Mill,high,100
20033534833,1075 Estancia MKT PPC,SEARCH,3025.2,696,17943,378432451,Estancia at Morningstar,low,35
22450420924,1185 Pointe Bentonville MKT PPC,SEARCH,3015.38,931,16285,482958962,The Pointe Bentonville,medium,72
22808104214,1148 Lakeland MKT July 25,SEARCH,2991.8,1101,16107,378713160,The Retreat at Lakeland,low,35
20041291906,1110 Gateway North MKT Responsive Search,SEARCH,2917.08,1018,15567,378703470,Gateway North,high,100
21437314762,1088 Stonecreek MKT Responsive Search,SEARCH,2783.38,388,9036,378409482,Stonecreek Ranch,low,35
22835688197,1164 Luma Headwaters MKT July 2025,SEARCH,2779.33,947,12641,383898543,Luma Headwaters,high,100
20514289642,1096 Apex MKT PPC,SEARCH,2673.81,864,19411,378403365,Apex West Midtown,low,35
15568215116,1153 The Villages at Oakleaf MKT search,SEARCH,2623.92,412,5960,378702944,The Villages at Oakleaf,high,100
18468459831,1163 Creekside MKT Search,SEARCH,2583.96,1363,19062,383887248,Creekside,high,100
19739606300,1168 Steeplechase MKT Responsive Search,SEARCH,2473.87,1191,25048,383899747,Steeplechase,high,100
21225200070,1130 - Preserve at Baywood - MKT PPC,SEARCH,2317.88,934,12438,378379334,Preserve at Baywood,high,100
23234376215,1081 Tuscany MKT search new,SEARCH,2179.77,854,12978,378703985,Tuscany at Lindbergh,low,35
21602170752,1142 Maddox MKT Responsive Search,SEARCH,2166.06,885,7525,378707080,The Maddox,low,35
17818149560,1129 Villas Continental MKT PPC,SEARCH,2157.48,1920,15314,378700639,Villas Continental,high,100
16391269583,1098 The Vinings MKT Search,SEARCH,2152.9,718,11029,378388378,Vinings,high,100
20360157058,1138 Riverbend MKT Responsive Search,DISPLAY,2071.89,5418,106354,378381569,Riverbend,high,100
22634872023,1139 Clearwater Farm MKT PPC AH June 2025,SEARCH,2039.92,921,15470,378405236,Clearwater Farm,high,100
22594166564,1104 Ventana MKT ppc,SEARCH,2023.73,910,17869,378380644,Ventana,high,100
22913209371,1071 Forest View MKT ppc Aug 2025,SEARCH,2007.39,1090,18082,378700663,Forest View,high,100
23241368812,1109 Calais Midtown MKT new search,SEARCH,1970.28,642,13376,378381499,Calais Midtown,high,100
7725766077,1068 - Villa Lago - MKT - GOA,SEARCH,1962.64,358,11478,378284749,Villa Lago,high,100
20583432682,1065 Shadowbrooke MKT PPC,SEARCH,1927.68,313,9271,378695682,Shadowbrooke,high,100
22361552537,1072 Champions Greens MKT Responsive Search,SEARCH,1892.7,915,7082,378404769,Champions Green,high,100
22594225193,1126 Republic MKT PPC,SEARCH,1832.26,850,19821,378383339,Republic Park Vista,low,35
19752939258,1169 Timberlane Village MKT Responsive Search,SEARCH,1799.56,1207,24245,383911613,Timberlane Village,high,100
21594806552,1176 Avasa Hammock Landing MKT Responsive Search,SEARCH,1736.0,1184,10801,416886840,Avasa Hammock Landing,high,100
12374964467,1113 - Grand Harbor - MKT - Responsive Search,SEARCH,1730.91,267,6699,378375463,The Cape at Grand Harbor,medium,72
17889144416,1162 The Anatole MKT ppc,SEARCH,1678.82,706,14216,378385381,The Anatole,high,100
22361025045,1178 Delta MKT Responsive Search,SEARCH,1656.64,617,9163,441503068,The Delta Pearland,low,35
18662110000,1167 Mission Mayfield Downs MKT Search,SEARCH,1638.32,772,10247,378377712,Mission Mayfield Downs,high,100
22375230461,1171 Camber Ridge MKT GOA from GBP,SMART,1621.36,1632,48872,445473253,Camber Ridge,high,100
6945999071,1121 - Town Station Lofts - MKT - Search All Beds,SEARCH,1619.33,392,6815,378679402,Town Station,high,100
21133580337,1161-Keystone Performance Max PPC,PERFORMANCE_MAX,1615.75,845,140367,383791347,Keystone,high,100
17633587886,1160 Luminary at 95  Mkt PPC Search,SEARCH,1591.69,472,7198,383898696,Luminary at 95,high,100
21910704685,1184 Thomas Glen MKT Responsive Search,SEARCH,1577.6,345,5859,465807797,The Reserves of Thomas Glen,medium,72
22360833288,1182 Botanic MKT Responsive Search,SEARCH,1529.48,591,6590,453129717,Botanic Luxury,low,35
8532512576,1124 Cobblestone- MKT -Search - All Beds #2,SEARCH,1528.53,434,7263,378412786,Cobblestone at Eagle Harbor,low,35
21613228035,1118 Tree Park MKT Responsive Search,SEARCH,1490.9,460,5186,378726133,Tree Park,high,100
22403298695,1146 Elation MKT 1 bedrooms,SEARCH,1455.29,618,7510,378381999,Elation at Grandway West,low,35
17452487233,1106 Valencia MKT PPC Search,SEARCH,1424.76,297,2776,378724718,Valencia at Westchase,low,35
22822313936,1069 St Andrews MKT July 2025 LS,SEARCH,1399.27,1568,18140,378657905,St. Andrews,high,100
9571888445,1107 - Balmoral Village - MKT - Search - All Beds,SEARCH,1354.73,352,5293,378397296,Balmoral Village,high,100
21587674994,1116 Coles Crossing  MKT PPC,SEARCH,1319.15,637,9958,378384243,Coles Crossing,high,100
23299613721,1151 Anatole Norman LS4,SEARCH,1295.44,729,12512,383878732,Anatole at Norman,medium,72
22394918387,1184 Thomas Glen KMT remarketing,DISPLAY,1216.79,6671,714905,465807797,The Reserves of Thomas Glen,medium,72
19244708629,1166 Bella Ruscello MKT PPC,SEARCH,1215.82,365,6601,378370331,Bella Ruscello,high,100
141293393,1078 - Carlyle Place - MKT - All beds,SEARCH,1186.86,302,8154,378149021,Carlyle Place,high,100
21140410538,1159- Tomoka Pointe Perfomance Max PPC,PERFORMANCE_MAX,1166.84,1887,17437,383876294,Tomoka Pointe,high,100
21917040919,1181 Townhomes MKT Responsive Search,SEARCH,1161.98,340,5283,378679402,Town Station,low,35
20713170218,1101 Zang MKT PPC,SEARCH,1091.78,382,9005,378304847,Zang Triangle,low,35
20483300083,1077 Westover Oaks MKT Responsive Search,SEARCH,1073.26,262,5478,378389543,Westover Oaks,high,100
22902593496,1143 Park on Wurzbach MKT Aug 2025,SEARCH,972.09,641,14237,378700447,Park on Wurzbach,high,100
11750790404,1125 - West 46th - MKT - Search,SEARCH,948.36,474,9837,378733984,West 46th,high,100
21518136126,1108 Phoenix MKT Responsive Search,SEARCH,823.09,252,5091,378402543,The Phoenix,low,35
15294087345,1152 Cane Island MKT GMB,SMART,816.04,857,34046,378405224,Cane Island,high,100
20321685113,1155 The Parker MKT PPC new,SEARCH,815.24,218,4004,378644177,The Parker,high,100
22816399092,1082 Village Walk MKT July 2025 LS,SEARCH,769.96,500,6926,378697137,Village Walk,high,100
22387470476,1173 Avasa Grove West Remarketing LS,DISPLAY,656.68,542,29616,408537081,Avasa Grove West,high,100
22445725399,1155 The Parker MKT Remarketing LS,DISPLAY,653.34,661,21485,378644177,The Parker,high,100
23266633853,1103 Newnan MKT,SEARCH,650.39,261,4203,378710933,Villas at Newnan Crossing,low,35
22816650399,1120 Venue MKT Remarketing July 2025 LS,DISPLAY,649.0,729,90637,378396775,Venue at Hometown,low,35
21421809561,1096 Apex MKT Remarketing June 2024,DISPLAY,648.09,264,299431,378403365,Apex West Midtown,low,35
18646986233,1147 Highpark MKT Remarketing AH June 2025,DISPLAY,647.0,769,23512,383911599,Highpark,high,100
20554534788,1045 French Place MKT Responsive Search,SEARCH,643.11,295,7291,378380748,French Place,high,100
21669502962,1066 Silverbrooke MKT Responsive Search,SEARCH,511.31,285,3689,378679398,Silverbrooke,high,100
20517762652,1099 South Shore MKT Responsive Search,SEARCH,510.77,252,4647,378444042,Fairways at South Shore,medium,72
22400468061,1171 Camber Ridge MKT youtube clubroom,DISPLAY,501.48,260,169047,445473253,Camber Ridge,high,100
22876652364,1124 Cobblestone MKT remarketing Aug 2025,DISPLAY,491.19,819,39307,378412786,Cobblestone at Eagle Harbor,low,35
22387412843,1172 Avasa Spring Branch MKT Remarketing LS,DISPLAY,486.65,297,223904,403700195,Avasa Spring Branch,high,100
20727357801,1111 Links at Windsor MKT Responsive Search,SEARCH,482.5,203,1964,378702022,Links at Windsor Parke,medium,72
15296429247,1152 Cane Island MKT Remarketing,DISPLAY,448.89,2242,23691,378405224,Cane Island,high,100
21187600699,1117 - Axial Buckhead - Performance Max PPC,PERFORMANCE_MAX,413.15,1095,10666,378379349,Axial Buckhead,high,100
20577049883,1150 Boulevard at Lakeside MKT Search,SEARCH,366.88,372,6670,378382252,Boulevard at Lakeside,high,100
22489078276,1137 Northbridge remarketing,DISPLAY,357.38,1873,214022,378703470,Gateway North,low,35
22388760855,1181 Townhomes MKT remarketing,DISPLAY,338.56,11418,102050,378679402,Town Station,low,35
20520922055,1063 College View MKT PPC,SEARCH,332.47,205,3504,378426727,College View,high,100
13896970230,1116 - Coles Crossing - MKT - Remarketing2,DISPLAY,329.63,328,13166,378384243,Coles Crossing,high,100
22434526449,1160 Luminary at 95 MKT2 Remarketing,DISPLAY,326.18,156,134900,383898696,Luminary at 95,high,100
10022010689,1102 Belterra - MKT Remarketing AH June 2025,DISPLAY,325.64,862,215022,378388864,Belterra,high,100
6461731399,1120 - Venue at Hometown - MKT - GMB,SMART,324.77,3073,139763,378396775,Venue at Hometown,high,100
22474363584,1146 Elation MKT Remarketing LS April 2025,DISPLAY,324.58,158,147693,378381999,Elation at Grandway West,low,35
15523319701,1133 Bradford Mill MKT Remarketing,DISPLAY,324.31,402,10250,378412775,Canton Mill Lofts,low,35
15593848298,1153 The Villages at Oakleaf MKT Remarketing,DISPLAY,321.5,1212,11028,378702944,The Villages at Oakleaf,high,100
17702830967,1159 Tomoka Pointe MKT Remarketing,DISPLAY,301.04,172,5162,383876294,Tomoka Pointe,high,100
23592921551,1177 Monteverde MKT youtube,DEMAND_GEN,300.15,1173,49426,488649687,Monteverde,high,100
17565720364,1123 Coho MKT Remarketing,DISPLAY,281.07,1128,20014,378415300,CoHo,high,100
22490485587,1150 Boulevard at Lakeside MKT Remarketing LS,DISPLAY,275.7,263,9172,378382252,Boulevard at Lakeside,high,100
14957324615,1088 Stonecreek MKT Remarketing2,DISPLAY,275.03,945,14338,378409482,Stonecreek Ranch,low,35
17936400940,1162 The Anatole MKT Remarketing,DISPLAY,274.72,858,19916,378385381,The Anatole,high,100
14645589502,1148 Retreat at Lakeland MKT Remarketing,DISPLAY,205.17,490,7281,378713160,The Retreat at Lakeland,medium,72
22205951945,1119 District Universal MKT Responsive Search,SEARCH,28.9,40,371,378644585,The District Universal Boulevard,medium,72
